[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3911024881.97264,12/06/2023,11:47 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 431, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC275,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM006,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A0,OVEN_HW_VERSION
INFO,OVB098,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC033,AC_SERIAL_NUMBER
INFO,SQUID AC 00.94.06,AC_SOFTWARE_VERSION
INFO,TCI069,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3 0 deg MC Thick,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3911027396.28398,203.008079528809,500.065155029297,-8.35389700062424E-6,1.33380934114216E-8,1,4,13.9012460708618,4.98755038955742,-0.539999979082495,-0.0100003686571436,-0.001487032547277,1,3.94037935752149E-8,,,,,,,,,,,,,,,,,,,,,203.000305175781,203.015853881836,500.065155029297,500.065155029297,52.3042356213709,5.60597756643161,6.03123235702515,56,1,0,0,1,0.301666259765625,27.3704795837402,2,1,1,203.015853881836,0,203.008079528809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027397.99484,203.090850830078,500.065155029297,-8.34076860256868E-6,1.25829693529326E-8,1,4,13.9012460708618,4.98759682940751,-0.539999979082495,-0.00998514920747733,-0.00148233736688923,1,4.13295985243233E-8,,,,,,,,,,,,,,,,,,,,,203.015853881836,203.16584777832,500.065155029297,500.065155029297,52.3808352162555,5.60552478108321,6.03740119934082,56,1,0,0,1,0.301971435546875,27.3704795837402,2,1,1,203.16584777832,0,203.090850830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027401.71056,203.280097961426,500.065155029297,-8.35094379325795E-6,1.31658307574948E-8,1,4,13.9012460708618,4.9875459851768,-0.539999979082495,-0.00999572533330395,-0.00149364138270949,1,3.34241049530265E-8,,,,,,,,,,,,,,,,,,,,,203.178558349609,203.381637573242,500.065155029297,500.065155029297,52.2565562816978,5.60529383011812,6.03181505203247,56,1,0,0,1,0.303115844726562,27.3704795837402,2,1,1,203.381637573242,0,203.280097961426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027405.73686,203.50025177002,500.065155029297,-8.3525262751862E-6,1.37025453007768E-8,1,4,13.9012460708618,4.98756253340281,-0.539999979082495,-0.00999747995321811,-0.0014951457221361,1,3.24153367758273E-8,,,,,,,,,,,,,,,,,,,,,203.381637573242,203.618865966797,500.065155029297,500.065155029297,52.2628093098517,5.60538009459393,6.03150177001953,56,1,0,0,1,0.301742553710937,27.3704795837402,2,1,1,203.618865966797,0,203.50025177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027409.76661,203.716827392578,500.065155029297,-8.3619075278281E-6,1.34387415004844E-8,1,4,13.9012460708618,4.98752295886654,-0.539999979082495,-0.0100099538997785,-0.00148796670288591,1,3.98429996000779E-8,,,,,,,,,,,,,,,,,,,,,203.618865966797,203.814788818359,500.065155029297,500.065155029297,52.3155692348998,5.60540269752978,6.03135824203491,56,1,0,0,1,0.302734375,27.3704795837402,2,1,1,203.814788818359,0,203.716827392578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027455.96552,206.035781860352,500.065155029297,-8.35247800432254E-6,1.28442106748761E-8,1,4,13.9012460708618,4.98744138422601,-0.539999979082495,-0.00999509566498179,-0.00150800459962244,1,2.16151316279145E-8,,,,,,,,,,,,,,,,,,,,,206.035781860352,206.035781860352,500.065155029297,500.065155029297,52.2549930246594,5.60606126527733,6.02961778640747,56,1,0,0,1,0.30303955078125,27.3704795837402,2,1,1,206.035781860352,0,206.035781860352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027458.03342,206.148910522461,500.065155029297,-8.35550415097595E-6,1.41189254031676E-8,1,4,13.9012460708618,4.98745821500043,-0.539999979082495,-0.0100012286499146,-0.0014925082037335,1,3.50404893861696E-8,,,,,,,,,,,,,,,,,,,,,206.035781860352,206.26203918457,500.065155029297,500.065155029297,52.2397512685344,5.60640487681965,6.03942775726318,56,1,0,0,1,0.302581787109375,27.3704795837402,2,1,1,206.26203918457,0,206.148910522461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027462.31543,206.393943786621,500.065155029297,-8.34455760669233E-6,1.61179540686591E-8,1,4,13.9012460708618,4.98741996222281,-0.539999979082495,-0.00998714109305314,-0.00149624719993407,1,3.02206457848868E-8,,,,,,,,,,,,,,,,,,,,,206.292037963867,206.495849609375,500.065155029297,500.065155029297,52.3132243493421,5.606245733221,6.02894592285156,56,1,0,0,1,0.301971435546875,27.3704795837402,2,1,1,206.495849609375,0,206.393943786621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027466.16993,206.587562561035,500.065155029297,-8.35406776662595E-6,1.5312881618842E-8,1,4,13.9012460708618,4.98740268921731,-0.539999979082495,-0.00999761499449863,-0.00150354266074516,1,2.55755482935063E-8,,,,,,,,,,,,,,,,,,,,,206.495849609375,206.679275512695,500.065155029297,500.065155029297,52.2272452122267,5.60556995256382,6.03539896011353,56,1,0,0,1,0.302200317382812,27.3704795837402,2,1,1,206.679275512695,0,206.587562561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027470.19545,206.779655456543,500.065155029297,-8.35173439520697E-6,1.30804573397547E-8,1,4,13.9012460708618,4.98743254530838,-0.539999979082495,-0.00999596890259286,-0.00149621928176748,1,3.13502419082773E-8,,,,,,,,,,,,,,,,,,,,,206.679275512695,206.880035400391,500.065155029297,500.065155029297,52.2444410396497,5.6058679193078,6.03314256668091,56,1,0,0,1,0.30242919921875,27.3704795837402,2,1,1,206.880035400391,0,206.779655456543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
