[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3911034787.11489,12/06/2023,2:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 431, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC275,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM006,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A0,OVEN_HW_VERSION
INFO,OVB098,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC033,AC_SERIAL_NUMBER
INFO,SQUID AC 00.94.06,AC_SOFTWARE_VERSION
INFO,TCI069,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3 0 deg MC Thick,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3911035500.2673,200.066879272461,20083.005859375,-0.000355963258076853,3.44578771288135E-8,1,4,13.9012460708618,5.00671568699144,-0.549999997019768,-0.42828828373016,-0.0646421439667582,1,9.01372397158128E-7,,,,,,,,,,,,,,,,,,,,,200.065536499023,200.068222045898,20083.005859375,20083.005859375,52.3100978352652,5.61420032706317,5.9963846206665,56,1,0,0,1,0.308303833007812,28.3479976654053,1,1,1,200.065536499023,0,200.066879272461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035529.05334,200.043342590332,19103.625,-0.000338521968980414,1.94125887322902E-8,1,4,13.9012460708618,5.00670663463753,-0.549999997019768,-0.407303624327533,-0.0614655166735994,1,8.64832792868192E-7,,,,,,,,,,,,,,,,,,,,,200.041809082031,200.044876098633,19103.625,19103.625,52.1635424879094,5.61459672875765,5.9899754524231,56,1,0,0,1,0.307998657226562,28.3479976654053,1,1,1,200.041809082031,0,200.043342590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035556.37837,200.025596618652,18148.326171875,-0.000321562210782112,3.17262896446083E-8,1,4,13.9012460708618,5.00672155560521,-0.549999997019768,-0.386903898586451,-0.058358165956754,1,8.44959004177774E-7,,,,,,,,,,,,,,,,,,,,,200.024459838867,200.026733398438,18148.326171875,18148.326171875,52.1397028180728,5.61482771101447,6.00231599807739,56,1,0,0,1,0.308151245117188,28.3479976654053,1,1,1,200.024459838867,0,200.025596618652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035582.37666,200.029876708984,17218.005859375,-0.000305054594689383,1.94245065021256E-8,1,4,13.9012460708618,5.00670215829078,-0.549999997019768,-0.367042134614268,-0.055347580775786,1,8.13577681250673E-7,,,,,,,,,,,,,,,,,,,,,200.029586791992,200.030166625977,17218.005859375,17218.005859375,52.285867351169,5.61424296172789,5.99750375747681,56,1,0,0,1,0.3082275390625,28.3479976654053,1,1,1,200.029586791992,0,200.029876708984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035609.25091,200.084045410156,16311.982421875,-0.000288956021826076,2.7592472791354E-8,1,4,13.9012460708618,5.00667557322957,-0.549999997019768,-0.347671775493384,-0.0524128805342197,1,7.81837454060349E-7,,,,,,,,,,,,,,,,,,,,,200.083114624023,200.084976196289,16311.982421875,16311.982421875,52.0474706528036,5.61438321747492,5.99732351303101,56,1,0,0,1,0.307693481445313,28.3479976654053,1,1,1,200.084976196289,0,200.084045410156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035634.49415,200.099060058594,15430.31640625,-0.000273305603803112,2.09767969611404E-8,1,4,13.9012460708618,5.00670683654752,-0.549999997019768,-0.328847216970417,-0.0495541654924286,1,7.56426530596623E-7,,,,,,,,,,,,,,,,,,,,,200.098205566406,200.099914550781,15430.31640625,15430.31640625,52.1373579325151,5.6146760070975,5.99646234512329,56,1,0,0,1,0.308151245117188,28.3479976654053,1,1,1,200.098205566406,0,200.099060058594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035659.05463,200.070999145508,14573.3994140625,-0.000258083478876062,2.72045562196765E-8,1,4,13.9012460708618,5.00669459744393,-0.549999997019768,-0.310530949841737,-0.0467914650450303,1,7.1641917285352E-7,,,,,,,,,,,,,,,,,,,,,200.068420410156,200.073577880859,14573.3994140625,14573.3994140625,52.0736552081978,5.61447833256075,6.00649690628052,56,1,0,0,1,0.307540893554687,28.3479976654053,1,1,1,200.068420410156,0,200.070999145508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035685.0139,200.064376831055,13740.7421875,-0.000243273975173926,2.73082557175458E-8,1,4,13.9012460708618,5.00669459523873,-0.549999997019768,-0.292711152550818,-0.0441111425094731,1,6.71406391680298E-7,,,,,,,,,,,,,,,,,,,,,200.063262939453,200.065490722656,13740.7421875,13740.7421875,52.2358431259382,5.61453385193112,5.998863697052,56,1,0,0,1,0.307235717773438,28.3479976654053,1,1,1,200.063262939453,0,200.064376831055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035727.18135,200.117706298828,12932.771484375,-0.000228979800825967,2.06137772886021E-8,1,4,13.9012460708618,5.00674607844141,-0.549999997019768,-0.275533726235941,-0.0414054739853396,1,7.27080794001317E-7,,,,,,,,,,,,,,,,,,,,,200.117706298828,200.117706298828,12932.771484375,12932.771484375,52.1854280864478,5.61439163093867,6.00181770324707,56,1,0,0,1,0.308761596679687,28.3479976654053,1,1,1,200.117706298828,0,200.117706298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035749.21262,200.184104919434,12149.1962890625,-0.000215027603267758,1.44965623581918E-8,1,4,13.9012460708618,5.0067590455266,-0.549999997019768,-0.258736038622805,-0.0389465960397123,1,6.29650222136668E-7,,,,,,,,,,,,,,,,,,,,,200.18342590332,200.184783935547,12149.1962890625,12149.1962890625,52.2127850846209,5.61389316200298,5.99757814407349,56,1,0,0,1,0.308990478515625,28.8367557525635,1,1,1,200.18342590332,0,200.184104919434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
